Ref,Val,Package,PosX,PosY,Rot,Side
"D6","LED","LED_0805_2012Metric_Castellated",99.939999,-79.185000,180.000000,bottom
"D7","LED","LED_0805_2012Metric_Castellated",119.869389,-93.664549,108.000000,bottom
"D8","LED","LED_0805_2012Metric_Castellated",112.257039,-117.092951,36.000000,bottom
"D9","LED","LED_0805_2012Metric_Castellated",87.622961,-117.092951,324.000000,bottom
"D10","LED","LED_0805_2012Metric_Castellated",80.010611,-93.664549,252.000000,bottom
"Q2","AO3400A","SOT-23",100.650000,-109.100000,90.000000,bottom
"R6","15","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",99.939999,-81.725000,180.000000,bottom
"R7","15","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",117.453705,-94.449453,108.000000,bottom
"R8","15","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.764065,-115.038047,36.000000,bottom
"R9","15","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",89.115935,-115.038047,324.000000,bottom
"R10","15","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",82.426295,-94.449453,252.000000,bottom
"R12","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.450000,-113.250000,180.000000,bottom
